,element,count,ncif,min,max,mean,stddev,e1,e2,z1,z2
1854,Ge-Se,763,180,2.0482,2.7988,2.355,0.071,Ge,Se,32,34
1855,H-Se,14,11,1.3456,1.6816,1.444,0.091,H,Se,1,34
1856,K-Se,16,10,2.6395,2.9297,2.825,0.072,K,Se,19,34
1857,Li-Se,1,1,2.0442,2.0442,2.044,0.0,Li,Se,3,34
1858,Mg-Se,36,14,2.397,2.8726,2.65,0.133,Mg,Se,12,34
1859,Mn-Se,468,125,1.9915,2.7475,2.553,0.088,Mn,Se,25,34
1860,N-Se,630,257,1.632,2.2093,1.839,0.1,N,Se,7,34
1861,Na-Se,241,80,2.4215,3.02,2.937,0.085,Na,Se,11,34
1862,Ni-Se,249,110,2.1073,2.6472,2.375,0.106,Ni,Se,28,34
1863,O-Se,5442,924,1.3779,2.2265,1.681,0.058,O,Se,8,34
1864,P-Se,2246,704,1.8209,2.4545,2.173,0.059,P,Se,15,34
1865,S-Se,220,95,1.8319,2.5582,2.232,0.105,S,Se,16,34
1866,Se-Se,1417,670,1.9314,2.7293,2.358,0.106,Se,Se,34,34
1867,Se-Si,113,62,2.0963,2.3818,2.251,0.054,Se,Si,14,34
1868,Se-Ti,14,8,2.0007,2.4287,2.369,0.105,Se,Ti,22,34
1869,Se-V,93,31,2.2798,2.7517,2.536,0.094,Se,V,23,34
1870,Se-Zn,405,108,2.3097,2.8409,2.46,0.063,Se,Zn,30,34
1871,Al-Si,250,126,2.2865,2.702,2.568,0.074,Al,Si,13,14
1872,B-Si,160,55,1.7607,2.2675,2.03,0.082,B,Si,5,14
1873,Be-Si,1,1,1.2091,1.2091,1.209,0.0,Be,Si,4,14
1874,C-Si,116373,14066,1.5475,2.2183,1.872,0.029,C,Si,6,14
1875,F-Si,1540,425,1.3573,2.1506,1.661,0.058,F,Si,9,14
1876,H-Si,1365,627,1.1744,1.6869,1.437,0.078,H,Si,1,14
1877,Li-Si,1,1,1.8664,1.8664,1.866,0.0,Li,Si,3,14
1878,Mg-Si,2235,776,2.0503,2.9144,2.525,0.198,Mg,Si,12,14
1879,N-Si,16942,5131,1.485,2.1941,1.746,0.061,N,Si,7,14
1880,Na-Si,154,106,2.072,2.9577,2.78,0.182,Na,Si,11,14
1881,O-Si,83430,11965,1.3452,2.1644,1.633,0.053,O,Si,8,14
1882,Si-Si,7970,2247,1.8452,2.659,2.389,0.086,Si,Si,14,14
1883,Ag-Sm,8,8,3.0315,3.4827,3.305,0.154,Ag,Sm,47,62
1884,Al-Sm,36,16,2.977,3.3019,3.167,0.084,Al,Sm,13,62
1885,As-Sm,33,14,2.8691,3.299,3.024,0.107,As,Sm,33,62
1886,B-Sm,123,42,2.3177,2.8788,2.738,0.108,B,Sm,5,62
1887,Ba-Sm,1,1,3.4469,3.4469,3.447,0.0,Ba,Sm,56,62
1888,Br-Sm,90,13,2.7508,3.2527,3.064,0.124,Br,Sm,35,62
1889,C-Sm,5706,588,2.0463,3.1087,2.787,0.164,C,Sm,6,62
1890,Ca-Sm,5,4,3.2315,3.5605,3.462,0.122,Ca,Sm,20,62
1891,Cd-Sm,18,6,3.0803,3.656,3.402,0.152,Cd,Sm,48,62
1892,Ce-Sm,4,3,3.6211,3.7752,3.698,0.077,Ce,Sm,58,62
1893,Cl-Sm,220,86,2.5084,3.0743,2.766,0.098,Cl,Sm,17,62
1894,Co-Sm,65,37,2.4505,3.2793,3.038,0.159,Co,Sm,27,62
1895,Cr-Sm,5,5,3.0856,3.1929,3.149,0.04,Cr,Sm,24,62
1896,Cu-Sm,59,37,2.753,3.287,3.146,0.132,Cu,Sm,29,62
1897,F-Sm,140,46,2.0892,2.7359,2.412,0.128,F,Sm,9,62
1898,Fe-Sm,65,32,2.454,3.2883,3.078,0.207,Fe,Sm,26,62
1899,Ga-Sm,73,30,2.5823,3.3631,3.148,0.157,Ga,Sm,31,62
1900,Ge-Sm,88,39,2.7741,3.3343,3.109,0.119,Ge,Sm,32,62
1901,H-Sm,18,11,1.6128,2.2771,2.036,0.191,H,Sm,1,62
1902,I-Sm,52,29,2.9852,3.4698,3.21,0.126,I,Sm,53,62
1903,In-Sm,17,11,3.2263,3.5793,3.395,0.104,In,Sm,49,62
1904,K-Sm,2,2,3.4231,3.4404,3.432,0.009,K,Sm,19,62
1905,La-Sm,4,3,3.5706,3.8749,3.776,0.124,La,Sm,57,62
1906,Mg-Sm,11,11,3.1151,3.4626,3.325,0.1,Mg,Sm,12,62
1907,Mn-Sm,18,12,2.8753,3.2789,3.159,0.109,Mn,Sm,25,62
1908,Mo-Sm,6,3,3.0921,3.4285,3.324,0.12,Mo,Sm,42,62
1909,N-Sm,2188,615,2.1889,2.7949,2.531,0.119,N,Sm,7,62
1910,Na-Sm,6,6,3.2891,3.5429,3.427,0.075,Na,Sm,11,62
1911,Nb-Sm,3,3,3.2696,3.4445,3.366,0.072,Nb,Sm,41,62
1912,Nd-Sm,4,1,3.8233,3.8239,3.824,0.0,Nd,Sm,60,62
1913,Ni-Sm,71,33,2.5557,3.2662,3.04,0.141,Ni,Sm,28,62
1914,O-Sm,9733,1382,1.9954,2.7712,2.439,0.098,O,Sm,8,62
1915,P-Sm,90,44,2.663,3.157,3.004,0.099,P,Sm,15,62
1916,Pd-Sm,12,12,2.8872,3.3649,3.111,0.181,Pd,Sm,46,62
1917,Rh-Sm,25,14,2.8608,3.3851,3.117,0.127,Rh,Sm,45,62
1918,Ru-Sm,28,23,2.9446,3.3851,3.226,0.126,Ru,Sm,44,62
1919,S-Sm,495,116,2.5253,3.1125,2.877,0.084,S,Sm,16,62
1920,Sb-Sm,47,21,3.055,3.5478,3.273,0.126,Sb,Sm,51,62
1921,Se-Sm,216,65,2.7935,3.2491,2.988,0.087,Se,Sm,34,62
1922,Si-Sm,80,52,2.6701,3.2205,3.105,0.11,Si,Sm,14,62
1923,Sm-Sm,284,125,2.6598,3.8213,3.536,0.283,Sm,Sm,62,62
1924,Sm-Sn,26,8,3.1503,3.4689,3.301,0.084,Sm,Sn,50,62
1925,Sm-Te,109,30,3.0113,3.5109,3.202,0.116,Sm,Te,52,62
1926,Sm-V,5,2,3.18,3.3395,3.28,0.063,Sm,V,23,62
1927,Sm-Y,1,1,3.5582,3.5582,3.558,0.0,Sm,Y,39,62
1928,Sm-Zn,23,17,2.8651,3.3741,3.212,0.115,Sm,Zn,30,62
1929,Ag-Sn,70,27,2.5864,3.2082,2.849,0.147,Ag,Sn,47,50
1930,Al-Sn,14,10,2.2856,3.038,2.852,0.196,Al,Sn,13,50
1931,As-Sn,82,32,2.4815,3.0183,2.697,0.097,As,Sn,33,50
1932,B-Sn,628,98,2.2417,2.631,2.355,0.065,B,Sn,5,50
1933,Br-Sn,294,120,2.2426,2.9934,2.609,0.104,Br,Sn,35,50
1934,C-Sn,8330,2385,1.8307,2.5703,2.149,0.052,C,Sn,6,50
1935,Ca-Sn,89,37,2.473,3.3108,3.232,0.096,Ca,Sn,20,50
1936,Cd-Sn,21,7,2.7462,3.3906,3.003,0.197,Cd,Sn,48,50
1937,Cl-Sn,2064,852,2.0431,2.8304,2.443,0.092,Cl,Sn,17,50
1938,Co-Sn,104,56,2.1242,2.9796,2.61,0.14,Co,Sn,27,50
1939,Cr-Sn,20,15,2.5598,3.0066,2.669,0.12,Cr,Sn,24,50
1940,Cu-Sn,243,58,2.2034,3.0425,2.714,0.115,Cu,Sn,29,50
1941,F-Sn,510,143,1.7587,2.5102,2.074,0.145,F,Sn,9,50
1942,Fe-Sn,209,75,2.1395,3.0406,2.656,0.143,Fe,Sn,26,50
1943,Ga-Sn,37,20,2.6228,3.1321,2.756,0.133,Ga,Sn,31,50
1944,Ge-Sn,75,22,2.5798,3.0917,2.736,0.121,Ge,Sn,32,50
1945,H-Sn,61,36,1.4281,2.03,1.731,0.139,H,Sn,1,50
1946,In-Sn,21,9,2.8486,3.3623,3.189,0.178,In,Sn,49,50
1947,K-Sn,5,3,2.6281,3.2277,2.982,0.287,K,Sn,19,50
1948,Li-Sn,1,1,2.0984,2.0984,2.098,0.0,Li,Sn,3,50
1949,Mg-Sn,31,22,2.6951,3.2383,2.984,0.114,Mg,Sn,12,50
1950,Mn-Sn,76,41,2.3997,3.0097,2.752,0.109,Mn,Sn,25,50
1951,Mo-Sn,50,28,2.7059,3.0729,2.846,0.104,Mo,Sn,42,50
1952,N-Sn,2451,1013,1.966,2.5486,2.223,0.134,N,Sn,7,50
1953,Na-Sn,151,53,2.3153,3.3123,3.159,0.148,Na,Sn,11,50
1954,Nb-Sn,61,34,2.4664,3.2346,2.908,0.133,Nb,Sn,41,50
1955,Ni-Sn,366,135,2.2,3.0037,2.604,0.13,Ni,Sn,28,50
1956,O-Sn,7574,1909,1.7287,2.5249,2.14,0.12,O,Sn,8,50
1957,P-Sn,326,151,2.4135,2.9114,2.621,0.114,P,Sn,15,50
1958,Pd-Sn,171,91,2.4675,3.162,2.739,0.142,Pd,Sn,46,50
1959,Rb-Sn,6,2,2.9882,3.3956,3.257,0.15,Rb,Sn,37,50
1960,Rh-Sn,209,80,2.4501,2.9988,2.705,0.104,Rh,Sn,45,50
1961,Ru-Sn,202,75,2.5117,3.1019,2.669,0.092,Ru,Sn,44,50
1962,S-Sn,2449,642,2.1222,2.9271,2.488,0.132,S,Sn,16,50
1963,Se-Sn,1879,301,2.1096,3.0324,2.586,0.121,Se,Sn,34,50
1964,Si-Sn,228,77,2.4189,2.9342,2.634,0.089,Si,Sn,14,50
1965,Sn-Sn,2158,415,2.3218,3.3274,3.003,0.151,Sn,Sn,50,50
1966,Sn-Ti,13,11,2.5708,2.7154,2.644,0.053,Sn,Ti,22,50
1967,Sn-V,16,12,2.6788,2.8956,2.804,0.057,Sn,V,23,50
1968,Sn-Y,43,12,3.0045,3.4459,3.163,0.112,Sn,Y,39,50
1969,Sn-Zn,64,30,2.3892,3.1093,2.763,0.141,Sn,Zn,30,50
1970,Al-Sr,1,1,2.6624,2.6624,2.662,0.0,Al,Sr,13,38
1971,Br-Sr,136,38,2.8376,3.353,3.167,0.101,Br,Sr,35,38
1972,Ca-Sr,1,1,2.1728,2.1728,2.173,0.0,Ca,Sr,20,38
1973,Cl-Sr,234,101,2.082,3.3212,3.044,0.18,Cl,Sr,17,38
1974,Cu-Sr,8,5,1.9972,2.676,2.445,0.244,Cu,Sr,29,38
1975,F-Sr,1128,192,2.1679,2.7627,2.537,0.103,F,Sr,9,38
1976,Fe-Sr,1,1,2.4822,2.4822,2.482,0.0,Fe,Sr,26,38
1977,K-Sr,2,2,2.1707,2.5229,2.347,0.176,K,Sr,19,38
1978,Mg-Sr,3,3,2.6243,2.8922,2.769,0.11,Mg,Sr,12,38
1979,Mn-Sr,1,1,2.5359,2.5359,2.536,0.0,Mn,Sr,25,38
1980,N-Sr,3,2,2.095,2.1495,2.116,0.024,N,Sr,7,38
1981,Na-Sr,1,1,2.9081,2.9081,2.908,0.0,Na,Sr,11,38
1982,Ni-Sr,1,1,1.968,1.968,1.968,0.0,Ni,Sr,28,38
1983,O-Sr,17629,3132,1.5389,2.7869,2.596,0.12,O,Sr,8,38
1984,S-Sr,427,79,2.7302,3.3042,3.084,0.105,S,Sr,16,38
1985,Se-Sr,1,1,2.406,2.406,2.406,0.0,Se,Sr,34,38
1986,Sr-Sr,29,17,1.8781,2.6224,2.217,0.229,Sr,Sr,38,38
1987,Ag-Ta,9,6,2.7852,3.0535,2.931,0.094,Ag,Ta,47,73
1988,Al-Ta,901,12,2.1325,2.9734,2.855,0.095,Al,Ta,13,73
1989,As-Ta,44,7,2.0905,2.9792,2.7,0.193,As,Ta,33,73
1990,B-Ta,206,52,2.1718,2.5487,2.403,0.079,B,Ta,5,73
1991,Ba-Ta,3,2,2.598,3.087,2.863,0.202,Ba,Ta,56,73
1992,Br-Ta,178,24,2.389,2.8391,2.575,0.068,Br,Ta,35,73
1993,C-Ta,1926,403,1.8618,2.4895,2.349,0.121,C,Ta,6,73
1994,Ca-Ta,3,2,3.1368,3.2327,3.201,0.045,Ca,Ta,20,73
1995,Ce-Ta,1,1,3.454,3.454,3.454,0.0,Ce,Ta,58,73
1996,Cl-Ta,742,239,2.1981,2.7128,2.396,0.072,Cl,Ta,17,73
1997,Co-Ta,21,14,2.427,2.8946,2.655,0.146,Co,Ta,27,73
1998,Cr-Ta,4,3,2.8365,2.936,2.887,0.035,Cr,Ta,24,73
1999,Cu-Ta,264,10,2.7458,2.9617,2.893,0.044,Cu,Ta,29,73
2000,Dy-Ta,3,3,3.4063,3.4383,3.418,0.015,Dy,Ta,66,73
2001,Er-Ta,1,1,3.4197,3.4197,3.42,0.0,Er,Ta,68,73
2002,Eu-Ta,10,8,3.3713,3.7404,3.504,0.112,Eu,Ta,63,73
2003,F-Ta,376,77,1.652,2.3051,1.935,0.089,F,Ta,9,73
2004,Fe-Ta,18,9,2.4141,2.9608,2.799,0.163,Fe,Ta,26,73
2005,Ga-Ta,56,8,2.6423,3.0675,2.821,0.122,Ga,Ta,31,73
2006,Gd-Ta,2,2,3.3653,3.3653,3.365,0.0,Gd,Ta,64,73
2007,Ge-Ta,39,5,2.3906,2.9989,2.767,0.157,Ge,Ta,32,73
2008,H-Ta,141,63,1.3913,2.0474,1.844,0.124,H,Ta,1,73
2009,I-Ta,57,20,2.6935,3.127,2.846,0.125,I,Ta,53,73
2010,K-Ta,2,1,2.9357,2.9722,2.954,0.018,K,Ta,19,73
2011,La-Ta,48,36,3.347,3.573,3.477,0.054,La,Ta,57,73
2012,Li-Ta,2,1,1.6541,2.109,1.882,0.227,Li,Ta,3,73
2013,Mg-Ta,7,7,3.0317,3.1687,3.077,0.041,Mg,Ta,12,73
2014,Mn-Ta,2,2,2.8302,2.9588,2.894,0.064,Mn,Ta,25,73
2015,N-Ta,1623,474,1.7239,2.4637,2.063,0.153,N,Ta,7,73
2016,Na-Ta,4,4,3.0448,3.2271,3.144,0.081,Na,Ta,11,73
2017,Nb-Ta,8,2,3.0442,3.1568,3.084,0.044,Nb,Ta,41,73
2018,Nd-Ta,6,5,3.3755,3.4511,3.422,0.025,Nd,Ta,60,73
2019,Ni-Ta,24,15,2.4978,2.8878,2.684,0.114,Ni,Ta,28,73
2020,O-Ta,6005,1106,1.6276,2.4421,2.0,0.114,O,Ta,8,73
2021,P-Ta,187,76,2.1659,2.868,2.604,0.103,P,Ta,15,73
2022,Pd-Ta,19,8,2.7494,3.0734,2.789,0.08,Pd,Ta,46,73
2023,Rh-Ta,9,6,2.7237,2.9705,2.786,0.076,Rh,Ta,45,73
2024,Ru-Ta,9,8,2.7202,2.9118,2.776,0.062,Ru,Ta,44,73
2025,S-Ta,601,105,2.1527,2.7815,2.479,0.12,S,Ta,16,73
2026,Sb-Ta,6,4,2.7745,3.193,2.983,0.144,Sb,Ta,51,73
2027,Se-Ta,186,32,2.3358,2.9314,2.599,0.117,Se,Ta,34,73
2028,Si-Ta,28,17,2.5207,2.8507,2.663,0.091,Si,Ta,14,73
2029,Sm-Ta,19,4,3.2366,3.4563,3.329,0.063,Sm,Ta,62,73
2030,Sn-Ta,12,8,2.7352,3.2126,3.012,0.165,Sn,Ta,50,73
2031,Ta-Ta,1000,177,2.2822,3.1623,2.949,0.126,Ta,Ta,73,73
2032,Ta-Tc,1,1,2.747,2.747,2.747,0.0,Ta,Tc,43,73
2033,Ta-Te,391,24,2.5994,3.1793,2.89,0.126,Ta,Te,52,73
2034,Ta-V,4,4,2.9054,3.0126,2.959,0.038,Ta,V,23,73
2035,Ta-Y,4,4,3.3195,3.383,3.357,0.027,Ta,Y,39,73
2036,Ta-Yb,1,1,3.3456,3.3456,3.346,0.0,Ta,Yb,70,73
2037,Ta-Zn,9,8,2.9374,3.0551,2.998,0.045,Ta,Zn,30,73
2038,Ag-Tb,13,13,2.9759,3.3837,3.097,0.107,Ag,Tb,47,65
2039,Al-Tb,32,22,2.885,3.2582,3.105,0.103,Al,Tb,13,65
2040,As-Tb,9,8,2.8816,3.2731,3.052,0.136,As,Tb,33,65
2041,B-Tb,71,24,2.4203,2.84,2.678,0.099,B,Tb,5,65
2042,Ba-Tb,1,1,3.3889,3.3889,3.389,0.0,Ba,Tb,56,65
2043,Br-Tb,78,11,2.5131,3.1061,2.891,0.1,Br,Tb,35,65
2044,C-Tb,810,67,1.9895,2.7839,2.582,0.158,C,Tb,6,65
2045,Ca-Tb,4,2,3.4266,3.47,3.44,0.018,Ca,Tb,20,65
2046,Cd-Tb,16,8,3.2181,3.6174,3.452,0.156,Cd,Tb,48,65
2047,Cl-Tb,110,44,2.5535,2.9815,2.726,0.095,Cl,Tb,17,65
2048,Co-Tb,31,26,2.8483,3.2192,3.08,0.124,Co,Tb,27,65
2049,Cr-Tb,2,2,3.1405,3.147,3.144,0.003,Cr,Tb,24,65
2050,Cs-Tb,1,1,3.5914,3.5914,3.591,0.0,Cs,Tb,55,65
2051,Cu-Tb,26,16,2.8533,3.2519,3.136,0.116,Cu,Tb,29,65
2052,Eu-Tb,2,2,4.0195,4.0363,4.028,0.008,Eu,Tb,63,65
2053,F-Tb,124,26,1.96,2.5384,2.239,0.118,F,Tb,9,65
2054,Fe-Tb,75,36,2.4711,3.2372,3.105,0.158,Fe,Tb,26,65
2055,Ga-Tb,42,16,2.8329,3.363,3.013,0.129,Ga,Tb,31,65
2056,Gd-Tb,12,2,3.7635,3.775,3.767,0.004,Gd,Tb,64,65
2057,Ge-Tb,193,59,2.7708,3.3018,2.978,0.111,Ge,Tb,32,65
2058,H-Tb,16,15,1.7725,2.2457,2.113,0.143,H,Tb,1,65
2059,I-Tb,3,3,3.0308,3.1197,3.086,0.04,I,Tb,53,65
2060,In-Tb,32,11,3.0814,3.5415,3.304,0.118,In,Tb,49,65
2061,La-Tb,9,1,3.5771,3.831,3.715,0.092,La,Tb,57,65
2062,Mg-Tb,5,5,3.1593,3.4144,3.306,0.093,Mg,Tb,12,65
2063,Mn-Tb,26,25,3.0484,3.2566,3.161,0.056,Mn,Tb,25,65
2064,Mo-Tb,3,1,3.2118,3.3698,3.313,0.072,Mo,Tb,42,65
2065,N-Tb,1829,519,1.9533,2.7611,2.527,0.104,N,Tb,7,65
2066,Na-Tb,4,2,3.3052,3.4907,3.391,0.067,Na,Tb,11,65
2067,Ni-Tb,117,52,2.6916,3.2303,2.983,0.126,Ni,Tb,28,65
2068,O-Tb,14634,1543,1.9036,2.7357,2.394,0.088,O,Tb,8,65
2069,P-Tb,28,11,2.844,3.1017,2.986,0.071,P,Tb,15,65
2070,Pd-Tb,17,13,2.8713,3.3402,3.041,0.152,Pd,Tb,46,65
2071,Rb-Tb,1,1,3.1556,3.1556,3.156,0.0,Rb,Tb,37,65
2072,Rh-Tb,23,21,2.9522,3.3452,3.103,0.113,Rh,Tb,45,65
2073,Ru-Tb,15,10,2.6013,3.2757,3.076,0.206,Ru,Tb,44,65
2074,S-Tb,179,30,2.6912,3.0778,2.851,0.082,S,Tb,16,65
2075,Sb-Tb,36,12,3.0545,3.5059,3.218,0.12,Sb,Tb,51,65
2076,Se-Tb,26,15,2.8215,3.0715,2.931,0.086,Se,Tb,34,65
2077,Si-Tb,55,39,2.7156,3.1838,2.993,0.116,Si,Tb,14,65
2078,Sn-Tb,87,19,2.6243,3.5334,3.213,0.203,Sn,Tb,50,65
2079,Tb-Tb,394,132,2.6122,3.7521,3.537,0.228,Tb,Tb,65,65
2080,Tb-Te,40,12,3.0182,3.4428,3.144,0.121,Tb,Te,52,65
2081,Tb-V,4,4,3.155,3.2579,3.184,0.043,Tb,V,23,65
2082,Tb-Y,1,1,3.2072,3.2072,3.207,0.0,Tb,Y,39,65
2083,Tb-Zn,24,18,2.8355,3.3503,3.158,0.13,Tb,Zn,30,65
2084,As-Tc,26,2,2.4373,2.7065,2.515,0.057,As,Tc,33,43
2085,B-Tc,1,1,2.3291,2.3291,2.329,0.0,B,Tc,5,43
2086,Br-Tc,68,11,2.3941,2.6263,2.501,0.043,Br,Tc,35,43
2087,C-Tc,241,50,1.819,2.3375,2.073,0.142,C,Tc,6,43
2088,Cl-Tc,144,53,1.8955,2.7806,2.37,0.09,Cl,Tc,17,43
2089,F-Tc,71,24,1.7512,2.2659,2.028,0.155,F,Tc,9,43
2090,H-Tc,3,2,1.6531,1.8168,1.75,0.07,H,Tc,1,43
2091,Mo-Tc,1,1,2.762,2.762,2.762,0.0,Mo,Tc,42,43
2092,N-Tc,229,84,1.6655,2.3594,2.086,0.136,N,Tc,7,43
2093,O-Tc,359,107,1.5932,2.3058,1.79,0.168,O,Tc,8,43
2094,P-Tc,82,38,2.282,2.6327,2.438,0.057,P,Tc,15,43
2095,S-Tc,131,47,2.215,2.5723,2.371,0.093,S,Tc,16,43
2096,Se-Tc,43,3,2.3726,2.525,2.5,0.034,Se,Tc,34,43
2097,Tc-Tc,48,16,2.0936,2.9821,2.51,0.246,Tc,Tc,43,43
2098,Tc-V,2,2,2.6154,2.6197,2.618,0.002,Tc,V,23,43
2099,Tc-Y,2,1,3.1526,3.1527,3.153,0.0,Tc,Y,39,43
2100,Ag-Te,900,152,2.2369,3.1787,2.804,0.16,Ag,Te,47,52
2101,Al-Te,36,22,2.3893,2.7412,2.617,0.061,Al,Te,13,52
2102,As-Te,28,9,2.5602,3.0039,2.752,0.141,As,Te,33,52
2103,B-Te,37,11,1.8074,2.3922,2.228,0.172,B,Te,5,52
2104,Br-Te,256,94,2.4128,2.9717,2.676,0.118,Br,Te,35,52
2105,C-Te,1662,640,1.8902,2.5086,2.128,0.042,C,Te,6,52
2106,Ca-Te,21,15,2.6249,3.2552,3.184,0.129,Ca,Te,20,52
2107,Cd-Te,173,41,2.6165,3.3391,2.822,0.093,Cd,Te,48,52
2108,Cl-Te,390,140,2.19,2.7699,2.474,0.106,Cl,Te,17,52
2109,Co-Te,36,19,2.4321,2.9633,2.555,0.116,Co,Te,27,52
2110,Cr-Te,99,34,2.2163,3.0904,2.722,0.144,Cr,Te,24,52
2111,Cu-Te,839,151,2.0832,2.9716,2.656,0.114,Cu,Te,29,52
2112,F-Te,685,71,1.6466,2.4538,1.855,0.081,F,Te,9,52
2113,Fe-Te,274,71,2.2967,2.8336,2.568,0.074,Fe,Te,26,52
2114,Ga-Te,148,44,2.4348,2.9555,2.621,0.056,Ga,Te,31,52
2115,Ge-Te,175,83,2.4116,3.0303,2.652,0.174,Ge,Te,32,52
2116,H-Te,17,8,1.3952,1.9604,1.744,0.207,H,Te,1,52
2117,In-Te,355,92,2.5366,3.2963,2.79,0.078,In,Te,49,52
2118,K-Te,4,4,2.429,3.1228,2.815,0.251,K,Te,19,52
2119,Li-Te,1,1,1.8558,1.8558,1.856,0.0,Li,Te,3,52
2120,Mg-Te,6,6,2.7362,3.1411,2.925,0.143,Mg,Te,12,52
2121,Mn-Te,94,46,2.3747,2.966,2.732,0.113,Mn,Te,25,52
2122,Mo-Te,111,34,2.2967,3.1278,2.753,0.13,Mo,Te,42,52
2123,N-Te,283,116,1.8251,2.4876,2.112,0.157,N,Te,7,52
2124,Na-Te,107,40,2.4525,3.2566,3.16,0.11,Na,Te,11,52
2125,Nb-Te,98,26,2.3017,3.1676,2.866,0.168,Nb,Te,41,52
2126,Ni-Te,72,37,2.3836,2.9541,2.573,0.113,Ni,Te,28,52
2127,O-Te,5193,944,1.634,2.4632,1.937,0.109,O,Te,8,52
2128,P-Te,210,90,2.1397,2.852,2.447,0.059,P,Te,15,52
2129,Pd-Te,138,49,2.4705,2.9757,2.614,0.085,Pd,Te,46,52
2130,Rb-Te,1,1,3.2587,3.2587,3.259,0.0,Rb,Te,37,52
2131,Rh-Te,16,10,2.5476,2.7588,2.651,0.05,Rh,Te,45,52
2132,Ru-Te,105,31,2.5616,2.7908,2.691,0.052,Ru,Te,44,52
2133,S-Te,183,90,2.1126,2.8053,2.529,0.158,S,Te,16,52
2134,Sb-Te,159,59,2.6045,3.2518,3.012,0.154,Sb,Te,51,52
2135,Se-Te,130,58,2.3132,2.9684,2.608,0.131,Se,Te,34,52
2136,Si-Te,62,32,2.321,2.7252,2.516,0.075,Si,Te,14,52
2137,Sn-Te,191,76,2.55,3.263,2.815,0.183,Sn,Te,50,52
2138,Tc-Te,6,1,2.555,2.5705,2.561,0.007,Tc,Te,43,52
2139,Te-Te,929,351,2.2476,3.2009,2.828,0.174,Te,Te,52,52
2140,Te-Ti,4,3,2.6364,2.658,2.645,0.008,Te,Ti,22,52
2141,Te-V,13,5,2.5834,3.043,2.743,0.107,Te,V,23,52
2142,Te-Y,35,16,2.9718,3.4077,3.136,0.12,Te,Y,39,52
2143,Te-Zn,74,41,2.5544,3.0718,2.647,0.102,Te,Zn,30,52
2144,B-Th,2,1,1.8399,2.2034,2.022,0.182,B,Th,5,90
2145,Br-Th,49,12,2.5723,3.1611,2.9,0.12,Br,Th,35,90
2146,C-Th,988,211,2.3595,2.854,2.741,0.107,C,Th,6,90
2147,Cl-Th,139,68,2.454,3.1139,2.781,0.112,Cl,Th,17,90
2148,Co-Th,1,1,2.437,2.437,2.437,0.0,Co,Th,27,90
2149,F-Th,392,87,2.1169,2.6327,2.401,0.097,F,Th,9,90
2150,Fe-Th,1,1,2.1576,2.1576,2.158,0.0,Fe,Th,26,90
2151,Ge-Th,1,1,2.7555,2.7555,2.756,0.0,Ge,Th,32,90
2152,H-Th,37,18,1.6621,2.3678,2.238,0.177,H,Th,1,90
2153,N-Th,746,213,2.0338,2.7957,2.464,0.142,N,Th,7,90
2154,Ni-Th,1,1,2.6756,2.6756,2.676,0.0,Ni,Th,28,90
2155,O-Th,2407,400,1.7367,2.6766,2.449,0.111,O,Th,8,90
2156,Rh-Th,1,1,2.6723,2.6723,2.672,0.0,Rh,Th,45,90
2157,S-Th,172,46,2.0807,3.1327,2.885,0.135,S,Th,16,90
2158,Si-Th,1,1,2.3269,2.3269,2.327,0.0,Si,Th,14,90
2159,Sn-Th,1,1,2.8319,2.8319,2.832,0.0,Sn,Th,50,90
2160,Th-W,2,1,2.4885,2.6233,2.556,0.067,Th,W,74,90
2161,Al-Ti,6,2,2.1492,2.3697,2.268,0.066,Al,Ti,13,22
2162,B-Ti,152,72,1.8195,2.4769,2.384,0.084,B,Ti,5,22
2163,C-Ti,14122,1617,1.7904,2.5149,2.362,0.088,C,Ti,6,22
2164,Ca-Ti,1,1,2.6488,2.6488,2.649,0.0,Ca,Ti,20,22
2165,Cl-Ti,2363,962,1.7891,2.6456,2.326,0.088,Cl,Ti,17,22
2166,F-Ti,1169,402,1.5407,2.2176,1.932,0.111,F,Ti,9,22
2167,H-Ti,3,2,1.0441,1.1572,1.084,0.052,H,Ti,1,22
2168,Li-Ti,1,1,1.4452,1.4452,1.445,0.0,Li,Ti,3,22
2169,N-Ti,4696,1584,1.6323,2.22,1.996,0.13,N,Ti,7,22
2170,Na-Ti,6,5,2.1778,2.693,2.43,0.196,Na,Ti,11,22
2171,O-Ti,30458,4892,1.338,2.3036,1.968,0.118,O,Ti,8,22
2172,P-Ti,459,189,2.1512,2.8786,2.604,0.108,P,Ti,15,22
2173,S-Ti,1149,267,2.1167,2.7249,2.444,0.09,S,Ti,16,22
2174,Si-Ti,2,2,2.2425,2.3059,2.274,0.032,Si,Ti,14,22
2175,Ti-Ti,7,5,1.5637,2.0185,1.821,0.151,Ti,Ti,22,22
2176,Ag-Tl,14,11,2.3592,3.3097,3.063,0.285,Ag,Tl,47,81
2177,Al-Tl,3,3,2.4557,2.7987,2.678,0.157,Al,Tl,13,81
2178,As-Tl,5,3,2.8223,3.1468,2.962,0.106,As,Tl,33,81
2179,Au-Tl,68,34,2.7303,3.2414,3.008,0.115,Au,Tl,79,81
2180,B-Tl,3,2,2.2571,2.3108,2.277,0.024,B,Tl,5,81
