,element,count,ncif,min,max,mean,stddev,e1,e2,z1,z2
1412,Na-P,83,59,2.1532,2.9017,2.777,0.174,Na,P,11,15
1413,P-P,3992,1447,1.7394,2.5138,2.21,0.093,P,P,15,15
1414,P-S,5880,1985,1.619,2.4298,2.014,0.061,P,S,15,16
1415,P-Si,567,235,1.9334,2.5635,2.276,0.092,P,Si,14,15
1416,Br-Pa,2,1,2.5737,2.6535,2.614,0.04,Br,Pa,35,91
1417,Ca-Pa,3,3,2.8983,2.9348,2.911,0.017,Ca,Pa,20,91
1418,Cl-Pa,2,1,2.4464,2.4607,2.454,0.007,Cl,Pa,17,91
1419,F-Pa,32,9,2.1323,2.4624,2.218,0.087,F,Pa,9,91
1420,O-Pa,20,11,1.5273,2.4805,1.905,0.398,O,Pa,8,91
1421,Ag-Pb,5,5,2.5119,3.3097,2.99,0.273,Ag,Pb,47,82
1422,Al-Pb,3,2,2.3888,2.6504,2.517,0.107,Al,Pb,13,82
1423,As-Pb,17,4,2.7051,2.9735,2.819,0.049,As,Pb,33,82
1424,Au-Pb,15,13,2.8727,3.2864,3.009,0.115,Au,Pb,79,82
1425,B-Pb,6,3,2.3631,2.5405,2.447,0.069,B,Pb,5,82
1426,Br-Pb,1127,171,2.6905,3.2599,3.03,0.118,Br,Pb,35,82
1427,C-Pb,267,111,2.1432,2.6418,2.311,0.123,C,Pb,6,82
1428,Ca-Pb,13,7,2.4775,3.3812,3.211,0.229,Ca,Pb,20,82
1429,Cd-Pb,41,7,2.8354,3.3865,3.056,0.119,Cd,Pb,48,82
1430,Ce-Pb,6,5,3.2045,3.4961,3.379,0.095,Ce,Pb,58,82
1431,Cl-Pb,425,185,2.1605,2.9021,2.757,0.135,Cl,Pb,17,82
1432,Co-Pb,3,2,2.619,2.7615,2.706,0.062,Co,Pb,27,82
1433,Cr-Pb,13,7,2.6426,2.7323,2.68,0.025,Cr,Pb,24,82
1434,Cs-Pb,2,2,3.6688,3.6985,3.684,0.015,Cs,Pb,55,82
1435,Cu-Pb,11,11,2.1995,3.1101,2.886,0.244,Cu,Pb,29,82
1436,Dy-Pb,4,3,3.1881,3.4014,3.294,0.106,Dy,Pb,66,82
1437,Er-Pb,4,4,3.1175,3.584,3.371,0.166,Er,Pb,68,82
1438,Eu-Pb,7,5,3.1654,3.746,3.433,0.161,Eu,Pb,63,82
1439,F-Pb,951,192,1.8957,2.7732,2.522,0.133,F,Pb,9,82
1440,Fe-Pb,13,4,2.5462,2.7981,2.64,0.059,Fe,Pb,26,82
1441,Gd-Pb,3,3,3.1512,3.4236,3.33,0.126,Gd,Pb,64,82
1442,Ge-Pb,18,6,2.7152,3.0652,2.829,0.105,Ge,Pb,32,82
1443,H-Pb,6,5,1.7387,2.0623,1.918,0.113,H,Pb,1,82
1444,Hf-Pb,5,3,2.7927,3.4288,3.284,0.246,Hf,Pb,72,82
1445,Hg-Pb,2,2,2.8339,3.4112,3.123,0.289,Hg,Pb,80,82
1446,Ho-Pb,5,4,3.1919,3.5756,3.367,0.129,Ho,Pb,67,82
1447,I-Pb,2038,306,2.5999,3.5257,3.221,0.107,I,Pb,53,82
1448,Ir-Pb,1,1,2.6929,2.6929,2.693,0.0,Ir,Pb,77,82
1449,La-Pb,19,15,3.1201,3.7059,3.413,0.12,La,Pb,57,82
1450,Lu-Pb,3,3,3.3696,3.4159,3.39,0.019,Lu,Pb,71,82
1451,Mg-Pb,36,33,2.858,3.3381,3.215,0.14,Mg,Pb,12,82
1452,Mn-Pb,25,3,2.7027,3.1116,2.971,0.111,Mn,Pb,25,82
1453,Mo-Pb,6,3,2.8845,3.0839,3.012,0.066,Mo,Pb,42,82
1454,N-Pb,1373,557,2.0869,2.6195,2.488,0.106,N,Pb,7,82
1455,Na-Pb,16,9,3.1281,3.3663,3.251,0.081,Na,Pb,11,82
1456,Nb-Pb,9,9,2.946,3.3121,3.176,0.149,Nb,Pb,41,82
1457,Nd-Pb,6,4,3.1885,3.6697,3.422,0.168,Nd,Pb,60,82
1458,Ni-Pb,12,5,2.7154,2.8892,2.761,0.062,Ni,Pb,28,82
1459,O-Pb,20663,2457,1.8386,3.452,2.726,0.317,O,Pb,8,82
1460,Os-Pb,3,1,2.6673,2.9862,2.873,0.146,Os,Pb,76,82
1461,P-Pb,57,32,2.4971,2.9839,2.789,0.107,P,Pb,15,82
1462,Pb-Pb,6997,1909,2.3906,4.101,3.756,0.305,Pb,Pb,82,82
1463,Pb-Pd,59,29,2.6902,3.1515,2.942,0.123,Pb,Pd,46,82
1464,Pb-Pr,7,6,3.3289,3.4988,3.415,0.063,Pb,Pr,59,82
1465,Pb-Pt,29,21,2.5637,3.2315,2.841,0.165,Pb,Pt,78,82
1466,Pb-Rh,14,8,2.7154,3.0087,2.792,0.082,Pb,Rh,45,82
1467,Pb-Ru,10,5,2.745,3.0269,2.842,0.107,Pb,Ru,44,82
1468,Pb-S,3489,440,2.0719,3.044,2.891,0.114,Pb,S,16,82
1469,Pb-Sb,20,5,2.4734,3.3621,3.064,0.208,Pb,Sb,51,82
1470,Pb-Se,251,83,2.5985,3.1019,2.965,0.103,Pb,Se,34,82
1471,Pb-Si,30,13,2.6654,3.0322,2.798,0.109,Pb,Si,14,82
1472,Pb-Sm,1,1,3.438,3.438,3.438,0.0,Pb,Sm,62,82
1473,Pb-Sn,8,6,2.8731,3.3909,3.112,0.215,Pb,Sn,50,82
1474,Pb-Ta,2,2,3.2456,3.2562,3.251,0.005,Pb,Ta,73,82
1475,Pb-Tb,4,4,3.4012,3.5873,3.449,0.08,Pb,Tb,65,82
1476,Pb-Te,72,41,2.8146,3.3345,3.175,0.104,Pb,Te,52,82
1477,Pb-Ti,1,1,2.7273,2.7273,2.727,0.0,Pb,Ti,22,82
1478,Pb-Tm,3,3,3.3714,3.392,3.384,0.009,Pb,Tm,69,82
1479,Pb-V,19,7,2.5817,3.1558,2.997,0.191,Pb,V,23,82
1480,Pb-W,191,57,2.3047,3.2582,2.784,0.213,Pb,W,74,82
1481,Pb-Y,12,7,3.0059,3.5024,3.274,0.163,Pb,Y,39,82
1482,Pb-Yb,16,10,3.0078,3.5746,3.376,0.138,Pb,Yb,70,82
1483,Pb-Zn,34,12,2.6805,3.1588,2.787,0.085,Pb,Zn,30,82
1484,Al-Pd,302,23,2.2683,2.8977,2.639,0.103,Al,Pd,13,46
1485,As-Pd,279,74,2.3111,2.7581,2.49,0.087,As,Pd,33,46
1486,B-Pd,181,73,1.9738,2.4877,2.211,0.105,B,Pd,5,46
1487,Br-Pd,1190,645,2.0318,2.7966,2.47,0.067,Br,Pd,35,46
1488,C-Pd,10579,4554,1.6608,2.4184,2.069,0.105,C,Pd,6,46
1489,Ca-Pd,23,11,2.4519,3.1442,3.046,0.136,Ca,Pd,20,46
1490,Cl-Pd,6160,3059,1.8761,2.5826,2.336,0.051,Cl,Pd,17,46
1491,Co-Pd,52,8,2.5348,2.8169,2.69,0.07,Co,Pd,27,46
1492,Cr-Pd,27,19,2.4968,2.8926,2.765,0.12,Cr,Pd,24,46
1493,Cu-Pd,70,17,2.1755,2.8128,2.623,0.092,Cu,Pd,29,46
1494,F-Pd,136,72,1.6795,2.2411,2.022,0.115,F,Pd,9,46
1495,Fe-Pd,40,26,2.5374,2.85,2.73,0.098,Fe,Pd,26,46
1496,Ga-Pd,143,37,2.3356,2.9826,2.561,0.115,Ga,Pd,31,46
1497,Ge-Pd,153,45,2.0899,2.8873,2.52,0.125,Ge,Pd,32,46
1498,H-Pd,100,71,1.3785,1.887,1.64,0.13,H,Pd,1,46
1499,K-Pd,2,1,3.0264,3.0264,3.026,0.0,K,Pd,19,46
1500,Li-Pd,1,1,2.2071,2.2071,2.207,0.0,Li,Pd,3,46
1501,Mg-Pd,35,15,2.5705,3.0335,2.81,0.112,Mg,Pd,12,46
1502,Mn-Pd,33,24,2.3668,2.8431,2.734,0.083,Mn,Pd,25,46
1503,Mo-Pd,38,25,2.6873,3.0201,2.858,0.092,Mo,Pd,42,46
1504,N-Pd,13690,4656,1.7779,2.3946,2.05,0.058,N,Pd,7,46
1505,Na-Pd,14,5,2.4301,3.1502,2.988,0.198,Na,Pd,11,46
